building_id,neutral_temp,records,cooling_type,region,t_out_mean
146,31.137492354740054,135,naturally ventilated,europe,29.488336489898987
147,24.9655765920826,103,air conditioned,asia,29.46546463245492
148,27.621146953405013,98,air conditioned,asia,29.895422541310896
149,26.94830932679539,96,air conditioned,asia,11.015388257575758
150,26.959690778575364,91,air conditioned,asia,28.106278729440493
151,24.5162827640985,70,air conditioned,asia,27.138412698412697
152,29.69212707182321,97,naturally ventilated,asia,27.224806701030925
153,27.018897637795277,41,mixed mode,asia,30.254101995565414
154,27.021161898652977,34,naturally ventilated,oceania,27.579166666666666
155,27.188333333333304,20,naturally ventilated,oceania,27.579166666666662
156,28.4790926237795,540,naturally ventilated,oceania,28.458904320987653
157,29.196676369635444,458,naturally ventilated,oceania,27.648071324599705
158,24.27111285009093,95,air conditioned,oceania,27.675
159,23.81914810184898,608,air conditioned,oceania,27.868153782894733
160,23.101797951740892,43,naturally ventilated,oceania,22.43701550387597
161,22.791861709326113,68,naturally ventilated,oceania,24.691666666666663
162,26.422172128816403,495,naturally ventilated,oceania,25.848358585858588
163,26.52278024336756,523,naturally ventilated,oceania,24.280329827915867
164,23.409078998636147,87,air conditioned,oceania,26.416666666666668
165,22.58773935124365,573,air conditioned,oceania,22.54644415357766
168,22.807051683516754,390,air conditioned,americas,1.0865277777777778
169,23.385615152257298,437,air conditioned,americas,0.8319363882443929
170,22.357249070631923,988,air conditioned,americas,0.4924918969634936
171,23.36174794173528,44,air conditioned,americas,1.4250946969696967
172,31.386866902237927,190,naturally ventilated,asia,29.90497076023391
173,24.74796035310516,470,naturally ventilated,asia,20.600851063829786
174,29.475959762939006,437,naturally ventilated,asia,29.21020642201835
175,29.52772385613442,556,naturally ventilated,asia,28.08911238161238
176,19.545477409973955,513,naturally ventilated,asia,13.9926614481409
177,28.572998957194088,492,naturally ventilated,asia,25.416700610997964
178,19.86212610899874,425,naturally ventilated,asia,7.959551886792452
179,27.183671014547226,568,naturally ventilated,asia,26.76830985915493
180,13.26898543747744,548,naturally ventilated,asia,11.5
181,22.12721085735828,496,naturally ventilated,europe,14.029578293010752
182,21.29512673461504,334,naturally ventilated,europe,13.755766591816368
183,23.24801381692573,47,naturally ventilated,europe,13.98918439716312
200,23.515527266161072,79,mixed mode,europe,9.242343530239099
201,24.377154963228435,110,mixed mode,europe,12.432090220385675
202,25.553589245221897,60,mixed mode,europe,13.909339689265536
523,22.79382321815129,107,air conditioned,americas,22.686915887850468
524,22.58625090122568,119,air conditioned,americas,24.34407096171802
525,23.413641187534704,92,air conditioned,americas,17.185990338164252
526,22.544995658598754,108,air conditioned,americas,15.661008230452675
527,23.927085145148826,107,air conditioned,americas,17.27673935617861
528,22.691361733376375,117,air conditioned,americas,17.376543209876544
529,22.376856970474,23,air conditioned,americas,21.18357487922706
530,24.37021706887429,122,naturally ventilated,americas,16.333333333333325
531,22.296601554618004,115,naturally ventilated,americas,16.8743961352657
532,24.173396023091733,123,naturally ventilated,americas,17.816169828364945
533,23.155019833280523,146,air conditioned,americas,15.702054794520548
534,23.006178269464417,123,air conditioned,americas,6.271454381210479
535,21.373671388027315,101,air conditioned,americas,5.621562156215621
536,22.663093049405166,134,air conditioned,americas,10.881011608623549
537,22.87983745937913,122,air conditioned,americas,12.552367941712204
538,22.90903846646298,147,air conditioned,americas,13.662131519274375
539,22.407875837909746,145,air conditioned,americas,10.18007662835249
540,23.05092431165677,121,naturally ventilated,americas,13.916666666666671
541,22.137637772681806,132,naturally ventilated,americas,12.186447811447813
542,23.29215487490992,136,naturally ventilated,americas,14.05637254901961
548,24.576666666666664,8,naturally ventilated,europe,15.0
549,21.972258788332088,140,naturally ventilated,europe,11.681101190476191
550,23.233676092544997,31,naturally ventilated,europe,6.90625
551,21.327754459601266,44,naturally ventilated,europe,4.864583333333333
552,21.580111731843573,31,naturally ventilated,europe,7.0
553,20.892163237074183,67,naturally ventilated,europe,7.12764303482587
554,23.34138370951914,36,naturally ventilated,europe,8.33912037037037
555,22.59426424204665,121,mixed mode,europe,10.757317493112948
557,24.111486659033044,424,naturally ventilated,europe,20.731824530549858
560,24.00652529761904,277,air conditioned,asia,29.36101083032491
564,22.110176062025516,108,naturally ventilated,africa,23.060838525441326
567,12.48155339805825,50,naturally ventilated,africa,13.562184343434343
570,25.642400000000016,72,naturally ventilated,africa,24.807032472613457
572,18.064002557544747,35,naturally ventilated,africa,14.337208994708995
575,23.96597716934169,116,naturally ventilated,africa,25.520444204980844
577,18.349289436286114,100,naturally ventilated,africa,13.485173611111112
579,12.7,2,air conditioned,africa,24.805208333333333
580,25.22617586912066,104,naturally ventilated,africa,23.642514690170938
583,18.288888888888877,11,air conditioned,africa,14.201704545454545
584,18.80915998311523,77,naturally ventilated,africa,14.270229076479078
586,23.690365910143594,85,naturally ventilated,africa,22.243382352941175
589,19.57333333333333,15,air conditioned,africa,14.053125
590,18.476315789473684,39,naturally ventilated,africa,15.77849893162393
595,26.35276286706663,134,air conditioned,asia,22.478535353535353
599,23.396768098647577,368,air conditioned,americas,22.84582851080247
600,23.830723411602214,246,mixed mode,americas,22.68640502535731
602,22.880995524014526,906,air conditioned,americas,19.50450114324558
603,23.105858711279566,1225,mixed mode,americas,18.947448146615155
604,24.045817003330747,715,mixed mode,oceania,22.521800699300698
605,22.094894846723868,644,mixed mode,oceania,15.663308747412009
628,24.066149664214887,195,mixed mode,europe,18.61550925925926
629,24.910450819672135,132,naturally ventilated,europe,17.22969276094276
630,24.64587546064444,136,mixed mode,europe,11.407074288048552
631,25.55048107761386,60,mixed mode,europe,19.796875
632,26.187090893306713,105,naturally ventilated,europe,20.416466346153847
634,20.428878052761515,378,naturally ventilated,asia,5.81483449861426
